"Extension","Count","TotalMB"
".jsonl","3525","2628,88"
"(no ext)","6310","1330,56"
".dmp","69","127,45"
".pma","19","61"
".tflite","40","33,2"
".bin","3","32,09"
".txt","32","27,08"
".log","79","24,61"
".wasm","1","22,29"
".dll","4","10,98"
".hyb","156","5,04"
".csv","5","3,83"
".ldb","33","3,17"
".pb","63","2,78"
".json","364","2,44"
".gz","5","2,23"
".html","2","1,87"
".db","11","0,38"
".pyc","28","0,31"
".py","37","0,24"
".js","4","0,23"
".init","2","0,18"
".pkl","331","0,14"
".conf","4","0,03"
".old","109","0,02"
".stat","1","0,02"
".md","3","0,02"
".rdb","2","0,01"
".sql","4","0,01"
".ps1","1","0,01"
".usage","7","0"
".dockerignore","1","0"
".binarypb","2","0"
".local","1","0"
".yml","1","0"
".sh","1","0"
".editorconfig","1","0"
".env","1","0"
".docker","1","0"
".map","5","0"
".db-journal","10","0"
".dat","5","0"
".aof","1","0"
".manifest","1","0"
".opts","1","0"
